Hindi,Tulu
सम्प्रदाय,ಪಂಥ
जाति,ಜಾತಿ ||
भाषा,ಭಾಷೆ
संस्कृति,ಸಂಸ್ಕೃತಿ
परंपरा,ಪಿರಾಕ್ ದ
संगीत,ಪದ್ಯ
नृत्य,ನಲ್ಪು
कला,ಕಲೆಗಾರಿಕೆ
हस्तकला,ಕರಕುಶಲ
चित्रकारी,ಚಿತ್ರ
मूर्तिकला,ಶಿಲ್ಪ
वस्त्र,ಬಟ್ಟೆ
गहने,ಪದ್ದೆಯಿ
पहनावा,ಅಟ್ಟಣೆ
जीवन,ಬದ್ ಕ್
जीना,ಬದುಕು
मरना,ಸಯ್ಪಿನಿ
जन्म,ಪುಟ್ಟು
मृत्यु,ಮರಣ
बुढ़ापा,ವೃದ್ಧಾಪ್ಯ
जवानी,ಜವ್ವನೆ
वृद्ध,ವೃದ್ಧ
बच्चा,ಬಾಲೆ
किशोर,ಟೀನ್
नवयुवक,ಜವನೆ
वृद्धावस्था,ವೃದ್ಧಾಪ್ಯ
अकेलापन,ಒಂಟಿತನ
समाज,ಸಮಾಜ
मित्रता,ದೋಸ್ತಿಕತೆ
सहयोग,ಸಹಯೋಗ
सहारा,ಬೆರಿಸಾಯ
प्रेरणा,ಸ್ಪೂರ್ತಿ
मार्गदर्शन,ಮಾರ್ಗದರ್ಶನ
अध्ययन,ಅಭ್ಯಾಸ
कार्य,ಬೆಲೆ
शिक्षण,ಬೋಧನೆ
सफलता,ಯಶಸ್ಸು
समस्या,ಸಮಸ್ಯೆ
समाधान,ಪಿರಿಕಟ್ಟ್
प्रयास,ಪ್ರಯತ್ನ್ಸ
योजना,ಯೋಜನೆ
निर्माण,ಕಟ್ಟುನು
सुरक्षा,ಕಾಪುನಾಯೆ
स्वास्थ्य,ಆರೋಗ್ಯ
जीवन,ಬದ್ ಕ್
खाद्य,ತಿನಸ್
मनुष्य,ಆಂಜೊವ್
बीज,ಬೀಜ
जड़,ಬೇರ್
पत्ता,ಇರೆ
शाखा,ಗೆಲ್ಲ್
तना,ಜೀವ
पौधा,ದೈ
गन्ना,ಕಬ್ಬು
मिट्टी,ಮಣ್ಣ್
बाग,ತೋಟ
झाड़ी,ಪುದೆಲ್
चारा,ಮೇವು
गाय,ಪೆತ್ತ
बकरी,ಏಡ್
ऊँट,ಒಂಟೆ
घोड़ा,ಕುದುರೆ
कुत्ता,ನಾಯಿ
बिल्ली,ಪುಚ್ಚೆ
चूहा,ಎಲಿ
हाथी,ಆನೆ
शेर,ಸಿಮ
बाघ,ಪಿಲಿ
हिरण,ಜಿಂಕೆ
चिड़िया,ಪಕ್ಕಿ
कबूतर,ಪುದ
मोर,ನವಿಲು
तोता,ಗಿಣಿ
मछली,ಮೀನ್
समुद्री,ಮರೈನ್
नाव,ವಾಡ
पानी,ನೀರ್
सीप,ಸಿಂಪಿ
रेत,ಪೊಯ್ಯೆ
सागर,ಕಡಲ್
तट,ಕ್ರಯ
प्रवास,ವಲಸೆ
पर्यटक,ಪ್ರವಾಸಿ
यायावर,ಪ್ರಯಾಣಿಕೆ
खोज,ನಾಡುನು
आशा,ಭರವಸೆ
रहस्य,ಗುಟ್ಟುದ
उत्सुकता,ಕುತೂಹಲ
रोशनी,ದೀಪೊಲು
सूरज,ಸೂರ್ಯೆ
शीत,ಚಳಿ
आकाश,ಬಾನ
ओस,ಇಬ್ಬನಿ
कोहरा,ಮೈಂದ್
तपिश,ಬೆಚ್ಚ
चाँदनी,ಚಂದ್ರನ ಬೊಲ್ಪು
अँधेरा,ಕಡು
तारे,ನಕ್ಷತ್ರೊಲು
चमक,ರೈಸುನು
आकाश,ಬಾನ
स्वप्न,ಕನ
कल्पना,ಕಲ್ಪನೆ
विचार,ಉಪಾಯ
प्रश्न,ಪ್ರಶ್ನೆ
उत्तर,ಉತ್ತರ
खोज,ನಾಡುನು
अन्वेषण,ತನಿಖೆ
ध्वनि,ಶಬ್ದ
लहर,ಸಿರೆ
तरंग,ಸಿರೆ
परिवर्तन,ಬದಲಾವನೆ
ऊर्जा,ಬಲ
प्रकाश,ಬೊಲ್ಪು
काल,ಕಾಲ
समय बहुत कीमती है,ಸಮಯ ಮಸ್ತ್ ಅಮೂಲ್ಯ
ज्ञान ही शक्ति है,ಜ್ಞಾನ ಪಂಡ ಶಕ್ತಿ
प्रयास कभी विफल नहीं होता,ಪ್ರಯತ್ನೊಲು ಏಪಲಾ ಸೋತುಜಿ
विनम्रता से सब कुछ प्राप्त होता है,ವಿನಮ್ರತೆಡ್ ಮಾತ ಸಾಧನೆ ಆಪುಂಡು
सच्चाई की जीत होती है,ಸತ್ಯ ಜಯಿಪುಂಡು
शांति का महत्व समझें,ಶಾಂತಿದ ಮಹತ್ವೊನು ಅರ್ಥ ಮಲ್ಪುಲೆ
संयम से काम करें,ತಾಳ್ಮೆಡ್ ಬೇಲೆ ಮಲ್ಪುಲೆ
आदर करना सीखें,ಗೌರವ ಮಲ್ಪೆರೆ ಕಲ್ಪುಲೆ
सरलता में सुंदरता है,ಸರಳತೆಡ್ ಸೌಂದರ್ಯ ಉಂಡು
आशा रखना न छोड़े,ಆಸೆನ್ ಏಪಲಾ ಬುಡೊರ್ಚಿ
ध्यान से सुनना सीखें,ಎಚ್ಚ ಗಮನೊಡು ಕೇನ್ರೆ ಕಲ್ಪುಲೆ
समय का सदुपयोग करें,ಸಮಯೊನು ಎಡ್ಡೆ ರೀತಿಡ್ ಬಳಕೆ ಮಲ್ಪುಲೆ
त्याग में महानता है,ತ್ಯಾಗಡ್ ಮಹತ್ವ ಉಂಡು
सदैव सकारात्मक रहें,ಯಾಪಲ ಸಕಾರಾತ್ಮಕವಾದ್ ಉಪ್ಪುಲೆ
हर दिन नया अवसर है,ಪ್ರತಿ ದಿನಲಾ ಒಂಜಿ ಪೊಸ ಅವಕಾಶ
संघर्ष से ही सफलता मिलती है,ಹೋರಾಟದ ಮೂಲಕ ಮಾತ್ರ ಯಶಸ್ಸು ಬರ್ಪುಂಡು
अपना कार्य पूरी निष्ठा से करें,ನಿಕ್ಲೆನ ಬೇಲೆನ್ ಪೂರ್ತಿ ಸಮರ್ಪಣೆಡ್ ಮಲ್ಪುಲೆ
दूसरों का सम्मान करें,ಬೇತೆಕ್ಲೆನ್ ಮಾನಾದಿಗೆ ಮಲ್ಪುಲೆ
धैर्य रखना महत्वपूर्ण है,ತಾಳ್ಮೆ ಮುಖ್ಯ
ईमानदारी से काम करें,ಪ್ರಾಮಾಣಿಕವಾದ್ ಬೇಲೆ ಮಲ್ಪುಲೆ
सोच-समझकर बोलें,ಯೋಚನೆ ಮಲ್ತ್ದ್ ಪಾತೆರ್ಲೆ
दोस्ती में सच्चाई होनी चाहिए,ದೋಸ್ತಿಡ್ ಸತ್ಯ ಉಪ್ಪೊಡು .
अपने लक्ष्य पर ध्यान दें,ನಿಕ್ಲೆನ ಗುರಿತ ಮಿತ್ತ್ ಗಮನ ಕೊರ್ಲೆ
शिक्षा सबसे बड़ा धन है,ಶಿಕ್ಷಣ ಪಂಡ ಮಲ್ಲ ಸಂಪೊತ್ತು
सच्चाई का साथ न छोड़ें,ಸತ್ಯೊನು ಬುಡ್ಡ ಬಲ್ಲಿ
समय पर काम करें,ಸಮಯೊಗು ಸರಿಯಾದ್ ಬೇಲೆ ಮಲ್ಪುಲೆ
परिश्रम सफलता की कुंजी है,ಕಷ್ಟ ಪನ್ಪುನವು ಯಶಸ್ಸ್‌ದ ಕೀಲಿ
हिम्मत से बढ़ें आगे,ಧೈರ್ಯೊಡು ದುಂಬು ಪೋಲೆ
किसी की मदद करें,ಏರೆಗ್ಲಾ ಸಹಾಯ ಮಲ್ಪುಲೆ
क्षमा करना सीखें,ಕ್ಷಮೆ ಮಲ್ಪೆರೆ ಕಲ್ಪುಲೆ
अच्छी संगति अपनाएँ,ಎಡ್ಡೆ ಸಂಗತಿನ್ ದೀಲೆ
सहयोगी बनें,ಒರಿ ಮಿತ್ರರಾಷ್ಟ್ರ ಆದ್ ಉಪ್ಪುಲೆ
गलतियों से सीखें,ತಪ್ಪುಡ್ದ್ ಕಲ್ಪುಲೆ
दिन की शुरुआत सकारात्मक हो,ದಿನೊನು ಸಕಾರಾತ್ಮಕವಾದ್ ಸುರು ಮಲ್ಪುಲೆ
रिश्तों को संभालें,ಸಂಬಂಧೊಲೆನ್ ನಿರ್ವಹಣೆ ಮಲ್ಪುಲೆ
खुद पर भरोसा रखें,ನಿಕ್ಲೆನ ಮಿತ್ತ್ ನಂಬಿಕೆ ದೀಲೆ
निरंतर सीखते रहें,ಕಲ್ಪುನ ಮುಂದುವರಿಸಲೆ
सभी के साथ विनम्र रहें,ಮಾತೆರೆಗ್ಲಾ ಸಭ್ಯವಾದ್ ಉಪ್ಪಡ್
कड़ी मेहनत करें,ಕಷ್ಟೊಡು ಬೇಲೆ ಮಲ್ಪುಲೆ
खुश रहना सीखें,ಸಂತೋಷೊಡು ಉಪ್ಪೆರೆ ಕಲ್ಪುಲೆ
नई बातें जानें,ಪೊಸ ಪೊಸ ವಿಷಯೊಲೆನ್ ಕಲ್ಪುಲೆ
बदलाव स्वीकारें,ಬದಲಾವಣೆನ್ ಸ್ವೀಕಾರ ಮಲ್ಪುಲೆ
अपनी कमियों को पहचानें,ನಿಕ್ಲೆನ ಕಮ್ಮಿಲೆನ್ ಗುರುತಿಸಾಲೆ
अच्छाई का साथ दें,ಎಡ್ಡೆತನೊಗು ಬೆಂಬಲ ಕೊರ್
दूसरों को प्रेरित करें,ಬೇತೆಕ್ಲೆಗ್ ಸ್ಫೂರ್ತಿ ಕೊರ್ಲೆ
खुद को सुधारें,ನಿಕ್ಲೆನ್ ನಿಕುಲು ಸುಧಾರಣೆ ಮಲ್ಪುಲೆ
सेहत का ध्यान रखें,ಆರೋಗ್ಯದ ಬಗ್ಗೆ ಕಾಳಜಿ ದೀಲೆ|
संयमित जीवन जीएं,ಸಮತೋಲಿತ ಜೀವನ ಮಲ್ಪುಲೆ
समय का पालन करें,ಸಮಯೊನು ಅನುಸರಿಸಲೆ
सफाई,ಸ್ವಚ್ಛ ಮಲ್ಪುನ
आदेश,ಕ್ರಮ
अवसर,ಅವಕಾಶ
सम्मान,ಮರ್ಯಾದೆ
प्रोत्साहन,ಬೆರಿಸಾಯ
योगदान,ಕೊಡುಗೆ
योग्यता,ಸಾಮರ್ಥ್ಯ
शिष्टाचार,ಶಿಷ್ಟಾಚಾರ
योजना,ಯೋಜನೆ
प्राथमिकता,ಆದ್ಯತೆ
विचार,ಉಪಾಯ
नसीहत,ಸಲಹೆ
प्रेरणा,ಸ್ಪೂರ್ತಿ
सादगी,ಸರಳತೆ
मनोबल,ನೈತಿಕತೆ
परिचय,ಪರಿಚಯ
जिम्मेदारी,ಜವಾಬ್ದಾರಿ
सफलता,ಯಶಸ್ಸು
विश्लेषण,ವಿಶ್ಲೇಷಣೆ
संवाद,ಸಂಭಾಷಣೆ
प्रशिक्षण,ತರಬೇತಿ
कर्तव्य,ಕಜ್ಜ
भूमिका,ಪಾತ್ರ
संरक्षण,ರಕ್ಷಣೆ
समर्थन,ಸಮರ್ಥನ
प्राथमिकता,ಆದ್ಯತೆ
ध्यान,ಗಮನ
महत्त्व,ಮಹತ್ವ
मोल,ಬಿಲೆ
समय,ಪೊರ್ತು
प्रभाव,ಪರಿಣಾಮ
निर्णय,ತೀರ್ಮಾನ
संतुलन,ಸಮತೋಲನ
समर्पण,ಸಮರ್ಪನೆ
विवेक,ವಿವೇಚನೆ
विनम्रता,ಸಭ್ಯತೆ
क्षमा,ಕ್ಷಮೆ
आशीर्वाद,ಆಶೀರ್ವಾದೊಲು
कृतज्ञता,ಸೊಲ್ಮೆಲು
उत्सव,ಆಚರಣೆ
विरासत,ಪರಂಪರೆ
समाधान,ಸಮಾಧಾನ
उद्देश्य,ಉದ್ದೇಶ
स्नेह,ಮೋಕೆ
दया,ಕನಿಕರ
सहनशीलता,ಸಹಿಸುನು
संतोष,ತೃಪ್ತಿ
साहस,ಧೈರ್ಯ
समर्पण,ಸಮರ್ಪನೆ
परोपकार,ದಾನ-ಧರ್ಮ
अनुभव,ಅನುಭವ
मुस्कान,ತೆಲಿಕೆ
समझदारी,ಬುದ್ಧಿವಂತಿಗೆ
कल्पना,ಕಲ್ಪನೆ
क्षमता,ಶಕ್ತಿ
नए अवसरों को अपनाएं,ಪೊಸ ಅವಕಾಶೊಲೆನ್ ಸ್ವೀಕಾರ ಮಲ್ಪುಲೆ
खुद पर भरोसा रखें,ನಿಕ್ಲೆನ ಮಿತ್ತ್ ನಂಬಿಕೆ ದೀಲೆ
अच्छा करने की कोशिश करें,ಎಡ್ಡೆ ಮಲ್ಪೆರೆ ಪ್ರಯತ್ನ ಮಲ್ಪುಲೆ
अभ्यास करते रहें,ಅಭ್ಯಾಸ ಮಲ್ತೊಂದು ಇಪ್ಪುಲೆ
रोज कुछ नया सीखें,ದಿನೊಲ ಒಂಜಿ ಪೊಸತ್ ದಾದನಾ ಕಲ್ಪುಲೆ
हार मत मानें,ಬುಡುದು ಕೊರೊಚಿ
सही राह चुनें,ಸರಿಯಾಯಿನ ಸಾದಿನ್ ಆಯ್ಕೆ ಮಲ್ಪುಲೆ
दूसरों की मदद करें,ಬೇತೆಕ್ಲೆಗ್ ಸಹಾಯ ಮಲ್ಪುಲೆ
अपने विचारों को मजबूत रखें,ನಿಕ್ಲೆನ ಆಲೋಚನೆಲೆನ್ ಗಟ್ಟಿಯಾದ್ ದೀಲೆ
स्वयं पर विश्वास करें,ನಿಕ್ಲೆನ ಮಿತ್ತ್ ನಂಬಿಕೆ ದೀಲೆ
जिम्मेदारी समझें,ಜವಾಬ್ದಾರಿನ್ ಅರ್ಥ ಮಲ್ಪುಲೆ
साहस से आगे बढ़ें,ಧೈರ್ಯೊಡು ದುಂಬು ಪೋಲೆ
दूसरों का आदर करें,ಬೇತೆಕ್ಲೆನ್ ಗೌರವ ಮಲ್ಪುಲೆ
अपने वचन निभाएं,ನಿನ್ನ ಪಾತೆರನ್ ದೀಲೆ
खुद को प्रेरित करें,ನಿಕ್ಲೆನ್ ನಿಕ್ಲೆ ಪ್ರೇರೇಪಿಸಲೆ
नए लक्ष्य बनाएं,ಪೊಸ ಗುರಿಲೆನ್ ಸೃಷ್ಟಿ ಮಲ್ಪುಲೆ
धैर्य बनाए रखें,ತಾಳ್ಮೆ ಮಲ್ಪುಲೆ
ज्ञान अर्जित करें,ಜ್ಞಾನ ಗಳಸೊಡು
मेहनत का फल मिलेगा,ಕಷ್ಟದ ಬೇಲೆ ಫಲ ಕೊರ್ಪುಂಡು
खुद की कद्र करें,ನಿಕ್ಲೆನ್ ಮೆಚ್ಚಿಲೆ
कड़ी मेहनत सफलता की चाबी है,ಕಷ್ಟ ಪನ್ಪುನವು ಯಶಸ್ಸ್‌ದ ಕೀಲಿ
हमेशा सीखते रहें,ಯಾಪಲ ಕಲ್ಪುನ ಮುಂದುವರಿಸೊಡು
अपेक्षा,ನಿರೀಕ್ಷೆ
अधिकार,ಹಕ್ಕ್
अवसर,ಅವಕಾಶ
अनुशासन,ಶಿಸ್ತ್
प्रयास,ಪ್ರಯತ್ನ
पराक्रम,ಧೈರ್ಯ
कृपा,ವಿನಯ
स्वीकृति,ಸ್ವೀಕಾರ
कुशलता,ಸಾಮರ್ಥ್ಯ
संकल्प,ತೀರ್ಮಾನ
निरंतरता,ನಿರಂತರತೆ
अनुकरण,ಅನುಕರಣೆ
निष्ठा,ನಿಯತ್ತ್
प्रेरणा,ಸ್ಪೂರ್ತಿ
परिश्रम,ಕೆಲಸದಕುಲು
प्रभाव,ಪರಿಣಾಮ
आशावाद,ಆಶಾವಾದ
आप कैसे हैं?,ಯೀರ್ ಎಂಚ ಉಲ್ಲರ್?
आप कहाँ जा रहे हैं?,ಈರ್ ಎಲ್ಲಿಗ್ ಪೋವೊಂದುಲ್ಲರ್?
मुझे भूख लगी है।,ಎಂಕ್ ಬಡವು ಉಂಡು.
क्या आप पानी लाएंगे?,ಈರ್ ನೀರ್ ದೆತೊಂದು ಬರ್ಪರ್?
मैं सो रहा हूँ।,ಯಾನ್ ನಿದ್ರೆಡ್ ಉಲ್ಲೆ.
आपका दिन कैसा था?,ಇರೆನ ದಿನ ಎಂಚ ಇತ್ತುಂಡ್?
मुझे थोड़ी मदद चाहिए।,ಎಂಕ್ ಒಂಜಿ ಸಹಾಯ ಬೋಡು.
यह बहुत अच्छा है।,ಉಂದು ಬಾರಿ ಎಡ್ಡೆ.
आपकी उम्र क्या है?,ನಿಕ್ಲೆನ ಪ್ರಾಯ ಎಂಚ ಉಂಡು?
मुझे हिंदी सीखना है।,ಎಂಕ್ ಹಿಂದಿ ಕಲ್ಪೊಡು ಪನ್ಪಿನ ಮನಸ್ಸ್ ಉಂಡು.
आज मौसम कैसा है?,ಇನಿ ಹವಾಮಾನ ಎಂಚ ಉಂಡು?
क्या आप तैयार हैं?,ಈರ್ ತಯಾರ್ ಉಲ್ಲರ್?
मुझे काम करने दो।,ಎಂಕ್ ಬೇಲೆ ಮಲ್ಪೆರೆ ಬುಡ್ಲೆ.
आप क्या कर रहे हैं?,ಯೀರ್ ಎಂಚಿನ ಮಲ್ತೊಂದುಲ್ಲರ್?
मैं पढ़ाई कर रहा हूँ।,ಯಾನ್ ಅಧ್ಯಯನ ಮಲ್ತೊಂದುಲ್ಲೆ.
क्या आप यहाँ रहते हैं?,ಈರ್ ಮುಲ್ಪ ಉಲ್ಲರ್?
मुझे एक किताब चाहिए।,ಎಂಕ್ ಒಂಜಿ ಪುಸ್ತಕ ಬೋಡು.
यह किसका घर है?,ಉಂದು ಏರೆನ ಇಲ್ಲ್?
क्या आप फिल्म देखेंगे?,ಈರ್ ಸಿನಿಮಾ ತೂವೊಲಿ?
मुझे नींद आ रही है।,ಎಂಕ್ ನಿದ್ರೆ ಬರ್ಪುಂಡು.
क्या आपको मेरी मदद चाहिए?,ನಿಕ್ಲೆಗ್ ಎನ್ನ ಸಹಾಯ ಬೋಡು?
आप क्या पसंद करते हैं?,ನಿಕ್ಲೆಗ್ ದಾದ ಇಷ್ಟ?
मुझे जल्दी है।,ಎಂಕ್ ಅವಸರ ಉಂಡು.
यह बहुत महंगा है।,ಉಂದು ಮಸ್ತ್ ದುಬಾರಿ.
मुझे कुछ खरीदना है। ,ಎಂಕ್ ದಾದನಾ ದೇಥೊನ್ರೆ ಉಂಡು
आप कौन-सी भाषा बोलते हैं?,ಈರ್ ವಾ ಬಾಸೆ ಪಾತೆರುನ?
यह क्या है?,ಉಂದು ಎಂಚಿನ?
मुझे घर जाना है।,ಎಂಕ್ ಇಲ್ಲಗ್ ಪೋಯೆರೆ ಬೋಡು.
आप कहाँ काम करते हैं?,ಈರ್ ಒಲ್ಪ ಬೇಲೆ ಮಲ್ಪುನು?
मुझे और समय चाहिए।,ಎಂಕ್ ಜಾಸ್ತಿ ಸಮಯ ಬೋಡು.
मैं बाजार जा रहा हूँ।,ಯಾನ್ ಮಾರುಕಟ್ಟೆಗ್ ಪೋವೊಂದುಲ್ಲೆ.
क्या आपको चाय पसंद है?,ನಿಕ್ಲೆಗ್ ಚಾ ಇಷ್ಟ ಆಪುಂಡಾ?
आप क्या सुन रहे हैं?,ಈರ್ ದಾದ ಕೇನ್ವೊಂದುಲ್ಲರ್?
मैं ठीक हूँ।,ಯಾನ್ ಹುಶಾರ್ ಉಲ್ಲೆ.
आप क्या सोचते हैं?,ನಿಕ್ಲೆಗ್ ದಾದ ಅನಿಸಿಕೆ?
यह खाना बहुत स्वादिष्ट है।,ಈ ತಿನ್ಪಿನವು ಮಸ್ತ್ ರುಚಿಯಾದುಂಡು.
मुझे माफ करना।,ದಯಮಲ್ತ್ ಎನ್ನನ್ ಕ್ಷಮೆ ಮಲ್ಪುಲೆ.
आपको क्या चाहिए?,ನಿಕ್ಕು ಎಂಚಿನ ಬೋಡು?
मुझे समझ में नहीं आया।,ಎಂಕ್ ಅರ್ಥ ಆಯಿಜಿ
क्या आप मेरे साथ चलेंगे?,ಈರ್ ಎನ್ನೊಟ್ಟುಗು ಬರ್ಪರ್?
यह मेरे लिए महत्वपूर्ण है।,ಉಂದು ಎಂಕ್ ಮುಖ್ಯ.
मुझे अच्छा लग रहा है।,ಎಂಕ್ ಎಡ್ಡೆ ಅನುಭವ ಆಪುಂಡು.
क्या आप छुट्टियों पर जा रहे हैं?,ಈರ್ ರಜೆಟ್ ಪೋವೊಂದುಲ್ಲರ್?
मुझे कल आना है।,ಎಂಕ್ ಎಲ್ಲೆ ಬರೊಡಾಪುಂಡು.
आप यहाँ कब आए?,ಈರ್ ಏಪ ಮುಲ್ಪ ಬತ್ತರ್?
मुझे मदद करने के लिए धन्यवाद।,ಎಂಕ್ ಸಹಾಯ ಮಲ್ತಿನಕ್ಲೆಗ್ ಸೊಲ್ಮೆಲು.
यह सही है।,ಉಂದು ಸರಿ.
